input_id	dealiased_id	standard_id	short_id
PMID:20602996	PMID:20602996	pubmed:20602996	14U8Zsben
PMID:15864276	PMID:15864276	pubmed:15864276	LMqTuh6n
PMID:22439937	PMID:22439937	pubmed:22439937	7S9uEWa
PMID:20118985	PMID:20118985	pubmed:20118985	eBhtfcG
PMID:24065147	PMID:24065147	pubmed:24065147	1A6zM7LPZ
PMID:22763448	PMID:22763448	pubmed:22763448	uu3baD5W
PMID:24667376	PMID:24667376	pubmed:24667376	14p8hitg1
PMID:20129249	PMID:20129249	pubmed:20129249	QzzeTuTF
PMID:30165904	PMID:30165904	pubmed:30165904	1ANsPleA4
PMID:21840482	PMID:21840482	pubmed:21840482	16VTNu6s8
PMID:22323597	PMID:22323597	pubmed:22323597	chIpSlW9
PMID:22751098	PMID:22751098	pubmed:22751098	qmZcVWkr
pmid:28923840	pmid:28923840	pubmed:28923840	a2AgZtV5
